Demand,Penetration,Travel Time,Run,Waiting Time,Time Loss,Waiting Count,Average Speed,Crossing,Following,Merging,RTT
Low,Half,127,18,4,24.02,1,18.46,0,2,0,123
Low,Half,144,19,10,40.22,2,16,0,2,0,134
Low,Half,445,20,310,341.58,3,0,0,3,0,135
Low,Half,131,21,4,27.87,1,16.52,1,2,0,127
Low,Half,153,22,7,49.23,5,15.69,0,2,0,146
Low,Half,137,23,4,33.63,1,15.97,0,1,0,133
Low,Half,138,24,8,34.55,2,16.33,0,2,0,130
Low,Half,137,25,7,33.43,3,16.48,0,4,0,130
Low,Half,136,26,4,32.07,2,16.45,0,2,0,132
Low,Half,124,27,4,20.93,1,19.19,1,1,0,120
Low,Half,142,28,2,38.51,2,14.98,0,2,0,140
Low,Half,146,29,7,42.87,2,15.54,1,1,0,139
Low,Minority,140,0,6,36.62,2,16.42,0,3,0,134
Low,Minority,147,1,5,43.93,2,15.3,0,1,0,142
Low,Minority,147,2,3,43.31,2,15.38,0,4,0,144
Low,Minority,135,3,3,31.61,2,16.3,1,2,0,132
Low,Minority,141,4,5,37.41,2,16.02,0,6,0,136
Low,Minority,152,5,7,48.6,2,14.86,0,4,0,145
Low,Minority,131,6,1,27.67,1,15.97,0,0,0,130
Low,Minority,145,7,1,41.67,1,13.87,0,0,0,144
Low,Minority,136,8,3,32.38,1,16.43,1,2,0,133
Low,Minority,132,9,7,28.32,3,17.4,0,2,0,125
Low,Minority,139,10,3,35.97,1,16.13,0,0,0,136
Low,Minority,146,11,6,42.68,3,15.72,0,2,0,140
Low,Minority,120,12,2,16.79,1,19.3,0,1,0,118
Low,Minority,123,13,2,19.3,1,19.15,0,1,0,121
Low,Minority,149,14,2,45.31,1,14.16,1,4,0,147
Low,Minority,131,15,3,27.75,1,16.36,1,1,0,128
Low,Minority,148,16,6,44.68,1,14.79,0,2,0,142
Low,Minority,445,17,299,341.2,2,0,1,2,0,146
Low,Minority,138,18,4,34.77,1,16.06,0,2,0,134
Low,Minority,139,19,7,35.24,1,15.84,0,2,0,132
Low,Minority,139,20,3,35.94,2,16.11,0,1,0,136
Low,Minority,118,21,0,14.21,0,19.26,1,0,0,118
Low,Minority,122,22,0,18.51,0,18.24,0,1,1,122
Low,Minority,168,23,11,64.42,2,12.76,0,4,0,157
Low,Minority,123,24,0,19.81,0,18.45,0,1,0,123
Low,Minority,133,25,2,29.59,2,16.61,0,3,0,131
Low,Minority,170,26,8,66.82,4,12.18,0,3,0,162
Low,Minority,138,27,9,34.7,1,16.07,0,2,0,129
Low,Minority,135,28,3,31.45,2,16.35,0,1,0,132
Low,Minority,141,29,4,37.33,1,16.01,0,4,0,137
Medium,Control,171,0,15,67.91,2,13.34,0,4,0,156
Medium,Control,163,1,13,60.07,4,14.1,0,5,0,150
Medium,Control,166,2,12,62.43,4,13.28,1,5,0,154
Medium,Control,162,3,5,58.81,4,13.77,0,3,0,157
Medium,Control,162,4,4,58.45,3,13.05,0,5,0,158
Medium,Control,139,5,5,35.26,2,16.41,0,4,0,134
Medium,Control,156,6,6,52.17,1,14.06,1,3,0,150
Medium,Control,152,7,1,48.79,1,15.18,0,2,0,151
Medium,Control,174,8,11,70.62,4,13.93,0,3,0,163
Medium,Control,201,9,41,97.5,4,11.83,0,1,0,160
Medium,Control,154,10,10,50.53,2,15.32,1,3,0,144
Medium,Control,202,11,26,98.61,3,10.8,0,4,0,176
Medium,Control,149,12,7,45.24,2,15.43,0,3,0,142
Medium,Control,179,13,40,75.61,3,14.51,0,4,0,139
Medium,Control,154,14,10,50.55,3,15.4,0,2,0,144
Medium,Control,158,15,1,54.47,1,13.45,0,3,0,157
Medium,Control,175,16,10,71.82,3,12.63,0,4,0,165
Medium,Control,154,17,10,50.53,4,15.23,0,5,0,144
Medium,Control,182,18,8,78.5,4,13.2,0,0,0,174
Medium,Control,156,19,10,52.66,2,15.01,0,3,0,146
Medium,Control,148,20,1,44.42,1,15.5,0,3,0,147
Medium,Control,153,21,0,49.11,0,14.43,0,3,0,153
Medium,Control,467,22,307,363.41,4,0,0,5,0,160
Medium,Control,150,23,8,46.45,3,15.48,0,2,0,142
Medium,Control,204,24,40,100.33,4,11.24,1,5,0,164
Medium,Control,143,25,4,39.25,1,15.58,0,1,0,139
Medium,Control,154,26,3,50.69,1,13.04,1,1,0,151
Medium,Control,151,27,8,48.02,2,14.44,0,0,0,143
Medium,Control,208,28,44,105,4,9.62,1,3,0,164
Medium,Control,165,29,9,61.4,3,13.1,0,1,0,156
